game_id,ok_n_rows,ok_n_players,ok_role_3_7,ok_winners,ok_consistency,all_ok,n_rows,n_players,winners,mafia_cnt,cit_cnt,winners_mafia,winners_citizens
120016,False,False,False,False,False,False,8,8,2,2,6,2,0
120019,False,False,False,False,False,False,9,9,6,3,6,0,6
120020,False,False,False,True,True,False,9,9,3,3,6,3,0
120023,False,False,False,False,False,False,9,9,6,3,6,0,6
120024,False,False,False,False,False,False,9,9,6,3,6,0,6
120533,True,True,True,False,False,False,10,10,0,3,7,0,0
120534,True,True,True,False,False,False,10,10,0,3,7,0,0
120535,True,True,True,False,False,False,10,10,0,3,7,0,0
120536,True,True,True,False,False,False,10,10,0,3,7,0,0
120537,True,True,True,False,False,False,10,10,0,3,7,0,0
120538,True,True,True,False,False,False,10,10,0,3,7,0,0
120539,True,True,True,False,False,False,10,10,0,3,7,0,0
120540,True,True,True,False,False,False,10,10,0,3,7,0,0
121219,False,False,False,False,False,False,9,9,6,3,6,0,6
121300,False,False,False,True,True,False,9,9,7,2,7,0,7
123429,True,True,True,False,False,False,10,10,0,3,7,0,0
123434,True,True,True,False,False,False,10,10,0,3,7,0,0
123506,True,True,True,False,False,False,10,10,0,3,7,0,0
124454,False,False,False,False,False,False,9,9,6,3,6,0,6
124465,False,False,False,False,False,False,9,9,6,3,6,0,6
124599,False,False,False,True,True,False,9,9,3,3,6,3,0
